High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
-1.480985418,-1.458299877,-0.099079712,-1.478647004,-1.499901893,-1.480165325,-1.577035902,-1.739610358,1.975719697,0.90142969,-0.144156799,-0.197032453,-1.080565113,-0.316006913,0
-1.495059317,-1.544405313,0.76514462,-1.592757175,-1.485497779,-1.499237365,-1.56275069,-1.734629021,2.050929721,0.844582299,0.360156651,-0.791955985,-1.019409584,-0.134350358,1
-1.584561918,-1.583049266,0.552992776,-1.546090907,-1.583870225,-1.508093203,-1.549100152,-1.729394265,2.075999729,0.891323465,0.35445876,-0.407036739,-1.005394892,-0.05038585,0
-1.555113284,-1.578712557,0.124130546,-1.589671747,-1.540416776,-1.535760705,-1.538060485,-1.724355776,2.025859713,0.896376703,0.351609245,0.61587021,-0.986283694,0.004927426,0
-1.63810933,-1.658361452,0.093227387,-1.698044781,-1.596684205,-1.573827539,-1.533233036,-1.719850708,2.050929721,0.903956372,0.702064552,-0.021585835,-0.939144003,0.099238593,1
-1.670642681,-1.701052732,-0.028961607,-1.632191548,-1.691876973,-1.604553052,-1.526217842,-1.715264121,2.000789705,0.933011644,0.454181245,-0.946136346,-0.944239363,0.222797264,1
-1.565379387,-1.570762016,-0.281176832,-1.531821324,-1.614894288,-1.592359292,-1.516886704,-1.710275031,2.025859713,0.982279745,0.02964624,-0.950389598,-0.911114492,0.27094682,0
-1.544703036,-1.503352138,-0.846694587,-1.534568959,-1.521435734,-1.590053656,-1.507178899,-1.705297903,2.025859713,0.969646837,0.115123144,-0.26880607,-0.93532105,0.272040987,0
-1.585959835,-1.582085227,-0.189545871,-1.614981307,-1.550485069,-1.595118305,-1.501966792,-1.700580398,1.875439665,0.950697791,0.579547656,0.304319549,-0.863973782,0.347946772,0
-1.597623856,-1.639906465,-0.524835807,-1.680593256,-1.592397199,-1.591626109,-1.499570684,-1.69617147,1.975719697,0.970910115,1.012630637,-0.846716596,-0.903469477,0.233241048,1
