Date,High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
6/18/2013,1654.189941,1639.77002,3120980000,1651.810059,1639.77002,1633.292017,1641.545675,1503.094848,2.22,22.92,16.610001,-12.85,84.040001,20.85144043,0
6/19/2013,1652.449951,1628.910034,3545060000,1628.930054,1651.829956,1636.574023,1641.644678,1504.187048,2.26,22.799999,16.639999,20.38,82.75,21.56500243,0
6/20/2013,1624.619995,1584.319946,4858850000,1588.189941,1624.619995,1626.940015,1640.161344,1505.130598,2.25,22,20.49,16.31,82.989998,22.73358157,1
6/21/2013,1599.189941,1577.699951,5797280000,1592.430054,1588.619995,1620.080029,1639.020011,1506.059849,2.25,21.74,18.9,37.59,83.040001,23.00428993,0
6/24/2013,1588.77002,1560.329956,4733660000,1573.089966,1588.77002,1606.890015,1636.999679,1506.900599,2.2,22.01,20.110001,28.76,82.43,23.66072307,1
6/25/2013,1593.790039,1577.089966,3761170000,1588.030029,1577.52002,1594.134009,1635.475012,1507.823549,2.21,22.049999,18.469999,21.3,82.709999,23.40429693,1
6/26/2013,1606.829956,1592.27002,3558340000,1603.26001,1592.27002,1589,1633.90568,1508.679249,2.21,22.110001,17.209999,17.4,82.82,23.00928607,1
6/27/2013,1620.069946,1606.439941,3364540000,1613.199951,1606.439941,1594.002002,1632.386344,1509.555649,2.21,22.49,16.860001,27.91,82.580002,22.64999829,0
6/28/2013,1615.939941,1601.060059,4977190000,1606.280029,1611.119995,1596.771997,1630.913346,1510.441649,2.13,22.35,16.860001,24.3,82.220001,23.0392805,1
7/1/2013,1626.609985,1609.780029,3104690000,1614.959961,1609.780029,1605.145996,1629.163013,1511.348649,2.06,22.73,16.370001,30.35,82.010002,23.07070486,0
7/2/2013,1624.26001,1606.77002,3317130000,1614.079956,1614.290039,1610.355981,1627.422677,1512.236248,2,23.09,16.440001,34.55,82.300003,22.40642436,1
7/3/2013,1618.969971,1604.569946,1966050000,1615.410034,1611.47998,1612.785986,1625.63101,1513.013348,2.03,23.549999,16.200001,25.7,81.970001,21.20785086,1
7/5/2013,1632.069946,1614.709961,2634140000,1631.890015,1618.650024,1616.523999,1624.849011,1513.843948,2.02,24.059999,14.89,23.99,81.620003,21.24498636,1
7/8/2013,1644.680054,1634.199951,3514590000,1640.459961,1634.199951,1623.359985,1624.51401,1514.740298,2.02,23.940001,14.78,18.18,81.660004,20.74641629,1
7/9/2013,1654.180054,1642.890015,3155360000,1652.319946,1642.890015,1630.831982,1624.604675,1515.705298,2.05,24.209999,14.35,22.33,81.830002,20.64428707,1
7/10/2013,1657.920044,1647.660034,3011010000,1652.619995,1651.560059,1638.53999,1624.356673,1516.663148,2.1,24.690001,14.21,5.68,81.449997,19.69572229,1
7/11/2013,1676.630005,1657.410034,3446340000,1675.02002,1657.410034,1650.461987,1625.245341,1517.736948,2.11,24.43,14.01,4.03,82.339996,18.22428671,1
7/12/2013,1680.189941,1672.329956,3039070000,1680.189941,1675.26001,1660.121973,1626.104671,1518.837148,2.11,24.799999,13.84,3.12,81.910004,17.25071493,1
7/15/2013,1684.51001,1677.890015,2623200000,1682.5,1679.589966,1668.52998,1627.830005,1519.965198,2.03,24.91,13.79,9.68,81.879997,15.43070757,0
7/16/2013,1683.72998,1671.839966,3081710000,1676.26001,1682.699951,1673.317993,1629.02467,1521.138548,2.07,24.76,14.42,6.54,81.599998,14.80141764,1
7/17/2013,1684.75,1677.910034,3153440000,1680.910034,1677.910034,1678.976001,1630.675671,1522.376498,2.07,24.959999,13.78,0.34,81.290001,14.06499357,1
7/18/2013,1693.119995,1681.050049,3452370000,1689.369995,1681.050049,1681.845996,1633.358004,1523.587598,2.02,25.33,13.77,-1.32,81.010002,13.73642393,1
7/19/2013,1692.089966,1684.079956,3302580000,1692.089966,1686.150024,1684.226001,1635.675667,1524.844698,2.04,25.41,12.54,-4.49,81.129997,13.24571879,1
7/22/2013,1697.609985,1690.670044,2779130000,1695.530029,1694.410034,1686.832007,1637.414001,1526.099898,2.04,25.02,12.29,-2.08,81.330002,12.28928914,0
7/23/2013,1698.780029,1691.130005,3096180000,1692.390015,1696.630005,1690.058008,1639.066667,1527.333098,2.04,25.190001,12.66,3.22,81.730003,11.58643443,0
7/24/2013,1698.380005,1682.569946,3336120000,1685.939941,1696.060059,1691.063989,1641.060331,1528.507848,1.98,24.709999,13.18,-0.79,81.699997,11.68715114,1
7/25/2013,1690.939941,1680.069946,3322500000,1690.25,1685.209961,1691.23999,1643.651331,1529.652098,1.89,24.82,12.97,-1.82,81.129997,11.22358043,1
7/26/2013,1691.849976,1676.030029,2762770000,1691.650024,1687.310059,1691.152002,1645.494332,1530.805698,1.88,24.58,12.72,3.83,81.260002,11.44000243,0
7/29/2013,1690.920044,1681.859985,2840520000,1685.329956,1690.319946,1689.111987,1647.447664,1531.952947,1.86,24.49,13.39,3.34,81.230003,11.15928429,1
7/30/2013,1693.189941,1682.420044,3320530000,1685.959961,1687.920044,1687.825976,1649.011662,1533.175347,1.87,24.17,13.39,4.22,80.910004,11.19570479,0
7/31/2013,1698.430054,1684.939941,3847390000,1685.72998,1687.76001,1687.783984,1650.142326,1534.441197,1.89,24.629999,13.45,-14.6,81.32,10.44428357,1
8/1/2013,1707.849976,1689.420044,3775170000,1706.869995,1689.420044,1691.107983,1652.740324,1535.811347,1.86,25.370001,12.99,-17.86,81.489998,11.46285579,1
8/2/2013,1709.670044,1700.680054,3136630000,1709.670044,1706.099976,1694.711987,1656.789661,1537.216747,1.84,25.129999,11.98,-18.5,81.339996,11.63214114,0
8/5/2013,1709.23999,1703.550049,2529300000,1707.140015,1708.01001,1699.073999,1660.613326,1538.551797,1.78,25.030001,11.84,-13.05,81.370003,11.21999693,0
8/6/2013,1705.790039,1693.290039,3141210000,1697.369995,1705.790039,1701.356006,1664.755994,1539.764047,1.78,24.74,12.72,-10.37,81.169998,11.60285307,0
8/7/2013,1695.300049,1684.910034,3010230000,1690.910034,1695.300049,1702.392017,1668.185327,1540.914047,1.79,24.42,12.98,-18.94,81.419998,11.62071021,1
8/8/2013,1700.180054,1688.380005,3271660000,1697.47998,1693.349976,1700.514014,1671.325993,1542.114747,1.78,24.309999,12.73,-16.16,81.949997,11.89142729,0
8/9/2013,1699.420044,1686.02002,2957670000,1691.420044,1696.099976,1696.864014,1673.933329,1543.405898,1.78,24.860001,13.41,-17.86,82.089996,12.35286179,0
8/12/2013,1691.48999,1683.349976,2789160000,1689.469971,1688.369995,1693.330005,1676.706327,1544.684148,1.76,24.959999,12.81,-25.63,82.360001,12.38786107,1
8/13/2013,1696.810059,1682.619995,3035560000,1694.160034,1690.650024,1692.688013,1679.34633,1546.089398,1.78,25.049999,12.31,-21.73,82.169998,12.27214714,0
8/14/2013,1695.52002,1684.829956,2871430000,1685.390015,1693.880005,1691.584009,1681.723332,1547.472598,1.73,25.200001,13.04,-4.22,82.629997,12.25929493,0
8/15/2013,1679.609985,1658.589966,3426690000,1661.319946,1679.609985,1684.352002,1683.253662,1548.714348,1.82,25.32,14.73,-2.18,82.150002,13.04358793,0
8/16/2013,1663.599976,1652.609985,3211450000,1655.829956,1661.219971,1677.233984,1684.05166,1549.933798,1.8,25.389999,14.37,5.96,81.790001,13.12929879,0
8/19/2013,1659.180054,1645.839966,2904530000,1646.060059,1655.25,1668.552002,1684.23833,1551.103298,1.84,25.24,15.1,0.29,81.82,13.31288386,1
8/20/2013,1658.920044,1646.079956,2994090000,1652.349976,1646.810059,1660.18999,1684.239331,1552.227098,1.86,24.799999,14.91,9.78,81.519997,13.26787471,0
8/21/2013,1656.98999,1639.430054,2932180000,1642.800049,1650.660034,1651.671997,1683.912,1553.370099,1.86,24.51,15.94,-2.45,81.489998,12.94215614,1
8/22/2013,1659.550049,1645.030029,2537460000,1656.959961,1645.030029,1650.8,1683.309998,1554.568599,1.83,24.809999,14.76,-7.62,81.449997,13.49644257,1
8/23/2013,1664.849976,1654.810059,2582670000,1663.5,1659.920044,1652.334009,1682.753666,1555.744149,1.83,25.07,14.06,-2.16,81.25,13.776437,0
8/26/2013,1669.51001,1656.02002,2430670000,1656.780029,1664.290039,1654.478003,1681.896334,1557.055399,1.875,25.110001,14.99,21.16,81.169998,13.75072371,0
8/27/2013,1652.540039,1629.050049,3219190000,1630.47998,1652.540039,1650.104004,1680.370333,1558.320248,1.92,25.77,16.82,18.38,80.239998,14.84143936,1
8/28/2013,1641.180054,1627.469971,2784010000,1634.959961,1630.25,1648.535986,1678.838664,1559.595798,1.87,25.92,16.49,19.18,80.360001,14.97787036,1
8/29/2013,1646.410034,1630.880005,2527550000,1638.170044,1633.5,1644.778003,1677.131999,1560.886498,1.86,25.58,16.809999,27.78,80.440002,15.13001357,0
8/30/2013,1640.079956,1628.050049,2734300000,1632.969971,1638.890015,1638.671997,1675.161332,1562.178698,1.86,25.469999,17.01,26.05,80.449997,15.40786307,1
9/3/2013,1651.349976,1633.410034,3731610000,1639.77002,1635.949951,1635.269995,1673.302665,1563.600098,1.86,25.639999,16.610001,19.1,80.559998,15.70714457,1
9/4/2013,1655.719971,1637.410034,3312150000,1653.079956,1640.719971,1639.78999,1671.99233,1565.098848,1.82,25.33,15.88,21.97,80.330002,16.25142121,1
9/5/2013,1659.170044,1653.069946,2957110000,1655.079956,1653.280029,1643.813989,1670.963664,1566.574848,1.82,25.540001,15.77,26.08,80.519997,14.77285329,1
9/6/2013,1664.829956,1640.619995,3123880000,1655.170044,1657.439941,1647.213989,1669.794332,1567.916248,1.79,26.08,15.85,15.51,80.269997,15.71713686,1
9/9/2013,1672.400024,1656.849976,3102780000,1671.709961,1656.849976,1654.961987,1669.129663,1569.335748,1.8,25.74,15.63,8.52,80.220001,15.99498629,1
9/10/2013,1684.089966,1675.109985,3691800000,1683.98999,1675.109985,1663.805981,1669.084998,1570.800547,1.8,25.34,14.53,6.47,80.099998,15.960702,1
